location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
BG-7-1,55.696403,-111.010691,,,Visible,t,,34968, 2021-03-24 09:39:18
BG-9-2,54.814088,-111.510288,,,Visible,t,,35174, 2021-03-24 09:39:18
BG-9-3,54.813985,-111.500577,,,Visible,t,,35175, 2021-03-24 09:39:18
BG-9-5,54.813448,-111.482131,,,Visible,t,,35176, 2021-03-24 09:39:18
BG-10-8,54.938306,-112.648548,,,Visible,t,,35289, 2021-03-24 09:39:18
BG-13-6,55.072322,-112.000794,,,Visible,t,,35625, 2021-03-24 09:39:18
BG-2-24,56.404129,-110.969084,,,Visible,t,,34524, 2021-03-24 09:39:18
BG-2-34,56.408935,-110.965969,,,Visible,t,,34534, 2021-03-24 09:39:18
BG-2-63,56.426223,-110.975049,,,Visible,t,,34562, 2021-03-24 09:39:18
BG-2-73,56.430940,-110.975759,,,Visible,t,,34572, 2021-03-24 09:39:18
BG-3-48,56.314492,-110.968348,,,Visible,t,,34635, 2021-03-24 09:39:18
BG-4-22,55.445071,-110.887936,,,Visible,t,,34703, 2021-03-24 09:39:18
BG-4-29,55.442800,-110.821726,,,Visible,t,,34709, 2021-03-24 09:39:18
BG-4-40,55.447942,-110.811506,,,Visible,t,,34720, 2021-03-24 09:39:18
BG-4-50,55.453207,-110.811038,,,Visible,t,,34730, 2021-03-24 09:39:18
BG-4-56,55.460208,-110.850888,,,Visible,t,,34736, 2021-03-24 09:39:18
BG-4-60,55.458679,-110.810632,,,Visible,t,,34740, 2021-03-24 09:39:18
BG-5-73,55.538681,-111.011029,,,Visible,t,,36440, 2021-03-24 09:39:18
BG-5-91,55.549766,-111.028927,,,Visible,t,,34862, 2021-03-24 09:39:18
BG-6-12,56.206598,-110.892205,,,Visible,t,,34883, 2021-03-24 09:39:18
BG-6-32,56.217406,-110.891095,,,Visible,t,,34902, 2021-03-24 09:39:18
BG-6-34,56.216740,-110.871586,,,Visible,t,,34904, 2021-03-24 09:39:18
BG-6-53,56.227836,-110.880275,,,Visible,t,,34923, 2021-03-24 09:39:18
BG-6-94,56.249027,-110.868299,,,Visible,t,,34962, 2021-03-24 09:39:18
BG-7-16,55.700226,-110.962498,,,Visible,t,,34983, 2021-03-24 09:39:18
BG-7-29,55.704652,-110.933357,,,Visible,t,,34995, 2021-03-24 09:39:18
BG-8-59,59.433285,-122.071053,,,Visible,t,,35124, 2021-03-24 09:39:18
BG-9-15,54.818735,-111.481618,,,Visible,t,,35186, 2021-03-24 09:39:18
BG-9-23,54.826068,-111.499294,,,Visible,t,,35195, 2021-03-24 09:39:18
BG-9-29,54.822268,-111.443543,,,Visible,t,,35201, 2021-03-24 09:39:18
BG-9-49,54.833872,-111.442908,,,Visible,t,,35223, 2021-03-24 09:39:18
BG-9-52,54.841049,-111.507919,,,Visible,t,,35226, 2021-03-24 09:39:18
BG-9-63,54.846186,-111.498063,,,Visible,t,,35240, 2021-03-24 09:39:18
BG-9-65,54.845533,-111.479445,,,Visible,t,,35242, 2021-03-24 09:39:18
BG-9-70,54.844251,-111.432993,,,Visible,t,,35247, 2021-03-24 09:39:18
BG-9-77,54.850441,-111.460393,,,Visible,t,,35255, 2021-03-24 09:39:18
BG-9-81,54.857489,-111.515821,,,Visible,t,,35260, 2021-03-24 09:39:18
BG-9-84,54.856634,-111.487833,,,Visible,t,,35263, 2021-03-24 09:39:18
BG-9-87,54.855862,-111.459847,,,Visible,t,,35267, 2021-03-24 09:39:18
BG-9-89,54.855330,-111.440931,,,Visible,t,,35269, 2021-03-24 09:39:18
ELE-5-2,52.401527,-116.275232,,,Visible,t,,238239, 2022-05-31 19:11:45
RS-27-G,57.312059,-111.219013,,,Visible,t,,343, 2021-03-24 09:39:18
RS-40-A,57.460916,-111.234237,,,Visible,t,,393, 2021-03-24 09:39:18
RS-40-C,57.470623,-111.226660,,,Visible,t,,397, 2021-03-24 09:39:18
BG-10-10,54.938323,-112.629301,,,Visible,t,,35292, 2021-03-24 09:39:18
BG-10-18,54.943724,-112.648020,,,Visible,t,,35300, 2021-03-24 09:39:18
BG-10-19,54.943535,-112.638723,,,Visible,t,,35301, 2021-03-24 09:39:18
BG-10-26,54.949447,-112.666649,,,Visible,t,,35310, 2021-03-24 09:39:18
BG-10-53,54.965997,-112.696297,,,Visible,t,,35342, 2021-03-24 09:39:18
BG-10-57,54.965357,-112.656639,,,Visible,t,,35347, 2021-03-24 09:39:18
BG-10-98,54.986790,-112.645596,,,Visible,t,,35389, 2021-03-24 09:39:18
BG-12-25,54.575550,-110.437762,,,Visible,t,,35532, 2021-03-24 09:39:18
BG-12-44,54.586500,-110.446292,,,Visible,t,,35555, 2021-03-24 09:39:18
BG-12-59,54.590116,-110.398068,,,Visible,t,,35572, 2021-03-24 09:39:18
BG-12-64,54.597224,-110.444986,,,Visible,t,,35578, 2021-03-24 09:39:18
BG-12-69,54.594210,-110.397311,,,Visible,t,,35583, 2021-03-24 09:39:18
BG-12-74,54.602542,-110.444357,,,Visible,t,,35589, 2021-03-24 09:39:18
BG-12-75,54.601930,-110.434535,,,Visible,t,,35590, 2021-03-24 09:39:18
BG-12-92,54.613828,-110.461793,,,Visible,t,,35609, 2021-03-24 09:39:18
BG-13-19,55.077276,-111.971627,,,Visible,t,,35638, 2021-03-24 09:39:18
BG-13-41,55.094554,-112.046935,,,Visible,t,,35661, 2021-03-24 09:39:18
BG-13-53,55.098715,-112.026826,,,Visible,t,,35675, 2021-03-24 09:39:18
BG-13-81,55.115983,-112.045394,,,Visible,t,,35706, 2021-03-24 09:39:18
BG-14-57,55.557933,-111.087590,,,Visible,t,,35793, 2021-03-24 09:39:18
BG-14-68,55.562783,-111.077596,,,Visible,t,,35806, 2021-03-24 09:39:18
BG-15-70,55.362867,-111.079902,,,Visible,t,,32211, 2021-03-24 09:39:18
BG-15-81,55.373573,-111.165166,,,Visible,t,,44090, 2021-03-24 09:39:18
BG-17-83,54.752110,-118.965520,,,Visible,t,,46231, 2021-03-24 09:39:18
OG-1-4-C,54.650079,-111.614349,,,Visible,t,,50382, 2021-03-24 09:39:18
