location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
6-NW,59.842426,-110.768616,,5500,Visible,f,,32702, 2021-03-24 09:39:18
19-NE,59.607685,-110.419456,,5500,Visible,f,,224, 2021-03-24 09:39:18
36-NW,59.510143,-111.286217,,5500,Visible,f,,32743, 2021-03-24 09:39:18
65-SW,59.318275,-110.953598,,5500,Visible,f,,32810, 2021-03-24 09:39:18
93-NE,59.160793,-111.064606,,5500,Visible,f,,32819, 2021-03-24 09:39:18
122-NE,58.935230,-111.107582,,5500,Visible,f,,32827, 2021-03-24 09:39:18
154-SW,58.704395,-110.185188,,5500,Visible,f,,55574, 2021-03-24 09:39:18
160-NE,59.170574,-118.207489,,5500,Visible,f,,90213, 2021-09-07 15:01:11
160-NW,59.170574,-118.207489,,5500,Visible,f,,90212, 2021-09-07 15:01:11
160-SE,59.170574,-118.207489,,5500,Visible,f,,94541, 2021-10-01 04:56:58
160-SW,59.170574,-118.207489,,5500,Visible,f,,90211, 2021-09-07 15:01:11
161-SE,59.192176,-117.813477,,5500,Visible,f,,90208, 2021-09-07 15:01:11
183-SW,58.498306,-110.255699,,5500,Visible,f,,32844, 2021-03-24 09:39:18
190-NE,58.980861,-117.833282,,5500,Visible,f,,90206, 2021-09-07 15:01:10
191-NE,58.945358,-117.481285,,5500,Visible,f,,90202, 2021-09-07 15:01:10
191-NW,58.945358,-117.481285,,5500,Visible,f,,90201, 2021-09-07 15:01:10
19-CCL,,,,,Visible,t,,178106, 2021-11-29 22:08:38
210-NE,58.363522,-110.995140,,5500,Visible,f,,32845, 2021-03-24 09:39:18
221-NW,58.754405,-117.539810,,5500,Visible,f,,90197, 2021-09-07 15:01:09
249-NW,58.670001,-118.279434,,5500,Visible,f,,90182, 2021-09-07 15:01:07
249-SE,58.670001,-118.279434,,5500,Visible,f,,90181, 2021-09-07 15:01:07
250-SE,58.663471,-117.926727,,5500,Visible,f,,90177, 2021-09-07 15:01:06
251-SE,58.629795,-117.546501,,5500,Visible,f,,90174, 2021-09-07 15:01:06
267-SW,58.177471,-112.180862,,5500,Visible,f,,238, 2021-03-24 09:39:18
272-SE,57.993595,-110.466278,,5500,Visible,f,,32903, 2021-03-24 09:39:18
279-NW,58.451194,-118.308250,,5500,Visible,f,,90160, 2021-09-07 15:01:04
280-NW,58.486930,-117.974716,,5500,Visible,f,,90156, 2021-09-07 15:01:03
281-NE,58.424129,-117.608231,,5500,Visible,f,,90153, 2021-09-07 15:01:03
281-NW,58.424129,-117.608231,,5500,Visible,f,,90152, 2021-09-07 15:01:03
281-SE,58.424129,-117.608231,,5500,Visible,f,,90151, 2021-09-07 15:01:02
301-NW,57.819053,-110.839073,,5500,Visible,f,,32922, 2021-03-24 09:39:18
304-NW,58.373638,-119.652313,,5500,Visible,f,,90230, 2021-09-08 16:18:51
304-SE,58.373638,-119.652313,,5500,Visible,f,,90229, 2021-09-08 16:18:51
305-NE,58.324382,-119.263962,,5500,Visible,f,,90227, 2021-09-08 16:18:50
305-SE,58.324382,-119.263962,,5500,Visible,f,,90225, 2021-09-08 16:18:50
